year,variable_name,age_group_label,age_min,age_max,metric,value,unit,scale,notes
2017,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,149716395.696,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,20-24,20,24,n_personen,469868.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,20-24,20,24,sum_einkommen,13764115672.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1156185716.448,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,25-29,25,29,n_personen,601688.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,25-29,25,29,sum_einkommen,29717387450.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2496260545.8,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,30-34,30,34,n_personen,615597.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,30-34,30,34,sum_einkommen,38660290223.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,30-34,30,34,sum_beitrag_ahv,3247464378.732,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,35-39,35,39,n_personen,597034.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,35-39,35,39,sum_einkommen,42423070223.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,35-39,35,39,sum_beitrag_ahv,3563537898.732,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,40-44,40,44,n_personen,565301.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,40-44,40,44,sum_einkommen,44688752828.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,40-44,40,44,sum_beitrag_ahv,3753855237.552,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,45-49,45,49,n_personen,600318.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,45-49,45,49,sum_einkommen,50706749147.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,45-49,45,49,sum_beitrag_ahv,4259366928.348,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,50-54,50,54,n_personen,614254.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,50-54,50,54,sum_einkommen,52986545786.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,50-54,50,54,sum_beitrag_ahv,4450869846.024,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,55-59,55,59,n_personen,500186.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,55-59,55,59,sum_einkommen,42338427005.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,55-59,55,59,sum_beitrag_ahv,3556427868.42,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,60-64,60,64,n_personen,332855.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,60-64,60,64,sum_einkommen,25026278491.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,60-64,60,64,sum_beitrag_ahv,2102207393.244,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,65-69,65,69,n_personen,64798.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,65-69,65,69,sum_einkommen,3240947438.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,65-69,65,69,sum_beitrag_ahv,272239584.792,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,70-74,70,74,n_personen,16341.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,70-74,70,74,sum_einkommen,706784318.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,70-74,70,74,sum_beitrag_ahv,59369882.712,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,75+,75,100,n_personen,7806.0,Anzahl,count,nur_arbeitnehmende
2017,ahv_einnahmen,75+,75,100,sum_einkommen,371752928.0,CHF,chf,nur_arbeitnehmende
2017,ahv_einnahmen,75+,75,100,sum_beitrag_ahv,31227245.952,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,<20,0,19,n_personen,142220.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,<20,0,19,sum_einkommen,1803805374.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,<20,0,19,sum_beitrag_ahv,151519651.416,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,20-24,20,24,n_personen,469696.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,20-24,20,24,sum_einkommen,13811890824.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,20-24,20,24,sum_beitrag_ahv,1160198829.216,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,25-29,25,29,n_personen,602087.0,Anzahl,count,nur_arbeitnehmende
2018,ahv_einnahmen,25-29,25,29,sum_einkommen,29948934244.0,CHF,chf,nur_arbeitnehmende
2018,ahv_einnahmen,25-29,25,29,sum_beitrag_ahv,2515710476.496,CHF,chf,nur_arbeitnehmende
